ID,DATA,TMEDIA °C,TMIN °C,TMAX °C,UMIDITA %
30,1/5/2005,"17,1","11,6","22,4",80
30,2/5/2005,"18,6",11,"25,5",60
30,3/5/2005,"18,2",12,24,58
30,4/5/2005,"18,5",14,"23,2",65
30,5/5/2005,"16,6","13,8",20,89
30,6/5/2005,"16,4",11,"21,2",63
30,7/5/2005,"16,1",9,"22,2",64
30,8/5/2005,"15,9","12,6",20,81
30,9/5/2005,"16,7","13,6",20,70
30,10/5/2005,"17,8",15,21,59
30,11/5/2005,"18,1","12,8","23,8",75
30,12/5/2005,"18,9","12,8","24,4",63
30,13/5/2005,"19,2",15,24,70
30,14/5/2005,"18,9","14,6",25,71
30,15/5/2005,"18,9",14,"23,6",67
30,16/5/2005,"18,8","12,8","23,4",51
30,17/5/2005,"18,1","15,4","22,6",78
30,18/5/2005,"16,1",15,"18,2",87
30,19/5/2005,"17,5",14,"22,2",61
30,20/5/2005,"18,2","10,6",25,53
30,21/5/2005,"18,2","10,8","24,6",65
30,22/5/2005,"18,7",13,"24,2",80
30,23/5/2005,"19,7","13,2","25,2",58
30,24/5/2005,"19,8",15,25,75
30,25/5/2005,"20,8","14,6","27,2",56
30,26/5/2005,"21,8","14,8","28,8",51
30,27/5/2005,"23,5","16,8",28,52
30,28/5/2005,"23,3",18,30,68
30,29/5/2005,"21,9","16,6","29,8",75
30,30/5/2005,"23,8","16,8",30,69
30,31/5/2005,"22,1","17,8","26,2",82
